total_frames;col_front;col_cross_far;col_cross_close;col_back;trf_go;trf_move;trf_slow_down
12153;0.005;0.000;0.006;0.077;0.012;0.154;0.000
6927;0.000;0.001;0.000;0.016;0.018;0.000;0.000
3683;0.000;0.000;0.000;0.005;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3798;0.000;0.000;0.000;0.003;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3737;0.000;0.000;0.000;0.005;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
6508;0.000;0.000;0.000;0.000;0.000;0.004;0.000
3921;0.000;0.000;0.000;0.013;0.000;0.000;0.000
9679;0.000;0.001;0.000;0.078;0.000;0.000;0.000
3753;0.000;0.000;0.000;0.005;0.000;0.000;0.000
3684;0.000;0.000;0.000;0.013;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3707;0.000;0.000;0.000;0.005;0.000;0.000;0.000
3601;0.000;0.001;0.000;0.000;0.000;0.000;0.000
3601;0.000;0.001;0.000;0.000;0.000;0.000;0.000
