total_frames;col_front;col_cross_far;col_cross_close;col_back;trf_go;trf_move;trf_slow_down
9322;0.000;0.002;0.024;0.042;0.016;0.003;0.000
6626;0.000;0.000;0.000;0.017;0.019;0.000;0.000
3683;0.000;0.000;0.000;0.005;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3794;0.000;0.000;0.000;0.003;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3601;0.000;0.001;0.000;0.000;0.000;0.000;0.000
3737;0.000;0.000;0.000;0.005;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
6510;0.000;0.000;0.000;0.000;0.000;0.004;0.000
3921;0.000;0.000;0.000;0.013;0.000;0.000;0.000
22088;0.000;0.005;0.001;0.033;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.003;0.000;0.000;0.000
3683;0.000;0.000;0.000;0.013;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3708;0.000;0.001;0.000;0.005;0.000;0.000;0.000
3601;0.000;0.001;0.000;0.000;0.000;0.000;0.000
3601;0.000;0.001;0.000;0.000;0.000;0.000;0.000
4897;0.000;0.000;0.000;0.004;0.000;0.000;0.000
18263;0.000;0.000;0.000;0.002;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3875;0.000;0.002;0.000;0.003;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
1956;0.000;0.000;0.012;0.029;0.044;0.057;0.000
5876;0.000;0.000;0.000;0.003;0.000;0.000;0.000
3601;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3601;0.000;0.001;0.000;0.000;0.000;0.000;0.000
9822;0.001;0.000;0.001;0.045;0.004;0.039;0.000
3731;0.000;0.000;0.001;0.000;0.000;0.010;0.000
5685;0.000;0.000;0.000;0.004;0.000;0.000;0.000
5977;0.000;0.005;0.000;0.007;0.008;0.000;0.000
4419;0.000;0.000;0.000;0.005;0.000;0.000;0.000
4895;0.000;0.001;0.000;0.004;0.000;0.000;0.000
5029;0.000;0.000;0.000;0.004;0.000;0.000;0.000
