total_frames;col_front;col_cross_far;col_cross_close;col_back;trf_go;trf_move;trf_slow_down
10656;0.039;0.003;0.060;0.023;0.003;0.000;0.000
11288;0.016;0.004;0.036;0.043;0.012;0.028;0.000
8698;0.002;0.003;0.030;0.009;0.004;0.223;0.000
7527;0.023;0.005;0.034;0.013;0.004;0.000;0.000
6719;0.024;0.005;0.039;0.017;0.003;0.007;0.000
5006;0.002;0.002;0.026;0.004;0.005;0.000;0.000
11247;0.015;0.002;0.081;0.027;0.003;0.009;0.001
13066;0.016;0.008;0.062;0.032;0.006;0.015;0.001
9715;0.014;0.005;0.062;0.010;0.019;0.002;0.002
10543;0.018;0.004;0.062;0.047;0.004;0.010;0.003
12766;0.020;0.001;0.064;0.043;0.002;0.019;0.001
14781;0.041;0.002;0.051;0.166;0.002;0.038;0.001
26971;0.007;0.003;0.016;0.015;0.005;0.147;0.000
17366;0.008;0.002;0.022;0.007;0.008;0.024;0.000
12492;0.003;0.004;0.019;0.014;0.008;0.012;0.000
14287;0.009;0.004;0.023;0.006;0.005;0.003;0.000
9797;0.002;0.002;0.016;0.011;0.002;0.361;0.000
12711;0.000;0.007;0.002;0.011;0.005;0.004;0.000
25808;0.001;0.006;0.025;0.009;0.009;0.002;0.000
24448;0.005;0.007;0.020;0.011;0.007;0.000;0.000
36789;0.005;0.006;0.027;0.007;0.003;0.018;0.000
16812;0.010;0.006;0.019;0.013;0.007;0.004;0.000
27837;0.006;0.006;0.022;0.007;0.006;0.001;0.000
28464;0.004;0.005;0.015;0.012;0.004;0.001;0.000
21541;0.008;0.003;0.006;0.004;0.010;0.002;0.000
15312;0.005;0.002;0.017;0.006;0.007;0.014;0.000
12757;0.005;0.003;0.008;0.003;0.009;0.000;0.000
11745;0.005;0.002;0.016;0.010;0.007;0.000;0.000
9220;0.010;0.001;0.020;0.003;0.008;0.000;0.000
13519;0.000;0.005;0.005;0.003;0.005;0.000;0.000
27372;0.002;0.007;0.008;0.015;0.002;0.004;0.000
26857;0.000;0.005;0.002;0.009;0.004;0.048;0.000
33546;0.008;0.009;0.022;0.023;0.004;0.003;0.000
37461;0.001;0.011;0.011;0.028;0.006;0.002;0.000
9548;0.000;0.018;0.003;0.005;0.000;0.000;0.000
16966;0.003;0.008;0.009;0.020;0.003;0.000;0.000
